a_x,a_y,a_z,g_x,g_y,g_z,m_x,m_y,m_z,class_name
-226,-319,954,-15991,-29968,43395,1094,40143,-57452,walking
78,-220,1032,-915,4333,-28625,-2189,38683,-57830,walking
-88,-127,1058,-915,6774,21789,-6569,39414,-55954,walking
-241,-81,973,-22888,-61,54199,-17517,41603,-50270,walking
-73,-445,938,-14404,-7080,-24169,-17517,46347,-51782,walking
-144,-424,941,9338,15258,-13549,-14962,47077,-48758,walking
-142,-336,932,-20935,13305,-34423,-12043,49267,-45357,walking
-11,-453,774,3112,19165,-23620,-6203,48171,-49130,walking
-172,-216,1089,13122,-427,-5187,-729,45618,-51410,walking
-220,-205,948,-11657,-8605,28808,-9123,41602,-52154,walking
-179,-319,876,-24353,-4272,43090,-15692,47078,-47252,walking
-221,-493,828,-27038,-27465,57617,-28829,44156,-46101,walking
-84,-401,870,5310,-16662,54504,-33938,27004,-45345,walking
-226,-298,876,-1220,-10437,29846,-31749,24815,-46863,walking
-25,-278,1001,34973,-20812,13305,-28829,15692,-58200,walking
80,-311,953,244,10559,-19653,-27004,17516,-55926,walking
-6,-45,1047,11779,-2746,-7446,-30289,17516,-52154,walking
-129,-230,929,2380,-9887,41137,-31748,11312,-62720,walking
37,-169,952,-10925,-4272,33935,-25544,6203,-55534,walking
-41,-226,1197,5371,-3479,-1281,-22624,2554,-63838,walking
-180,-228,979,-11169,-6103,30212,-22260,4014,-59698,walking
-76,-238,930,4272,-671,366,-17880,-1459,-60816,walking
-87,-197,822,-3234,-10192,-22460,-20435,2554,-58927,walking
-309,-328,946,1464,-19714,22033,-27368,2189,-57409,walking
-89,-308,845,1586,4455,15991,-17515,2554,-59283,walking
-140,-358,859,-3723,8056,-10314,-21529,6203,-56276,walking
-231,-348,881,-12756,-17150,35400,-17150,2189,-58920,walking
-174,-475,875,10314,1403,10437,-11312,9122,-57032,walking
-332,-358,917,17456,24902,-60119,-22989,7663,-60061,walking
-236,-349,962,36987,4455,-29479,-29922,4743,-57032,walking
-75,-209,883,9155,4699,-6591,-29923,1824,-54023,walking
-258,-249,843,-4699,-14587,27770,-30286,729,-52480,walking
0,-275,1004,2136,1342,-5737,-14961,1459,-57409,walking
37,-126,995,610,26000,-31799,-18975,-2189,-58927,walking
-80,-54,1059,-20324,20141,-61950,-24083,8027,-52115,walking
-31,-169,1138,16906,-17333,-68603,-24813,14961,-51360,walking
321,-228,980,27709,24719,-2929,729,22625,-58179,walking
-163,-58,969,-3662,16967,-13366,-19704,23353,-56647,walking
-442,-123,779,-2136,58227,-98510,-19704,30652,-48339,walking
-201,-184,902,-3051,-9033,-81054,-12042,39410,-44190,walking
-132,-423,843,22949,19042,-35705,6203,35029,-56255,walking
-52,-356,908,-16296,305,14160,10581,39043,-49837,walking
7,-425,854,-3967,-5737,14465,6568,41964,-50227,walking
-134,-213,890,-8544,26184,-62499,17150,35029,-49837,walking
-38,-184,857,-5371,26672,-72509,19703,24812,-52089,walking
18,-132,1144,854,33996,-79895,9122,7662,-61541,walking
145,-299,1003,10192,9643,-22644,2554,2554,-60024,walking
-100,-236,1037,-5676,-38879,28991,-364,2189,-60786,walking
235,-247,1026,-6469,-33752,-22705,20433,1094,-51328,walking
364,-362,797,-5126,25207,-976,25177,-1459,-52089,walking
44,130,715,10803,28869,96984,21527,14959,-56598,walking
-151,-122,914,2624,32958,-17333,14960,11676,-62651,walking
-367,-194,765,5065,29235,9704,5838,13500,-61888,walking
-475,-297,882,10681,9582,9948,-4013,16418,-66769,walking
-346,-482,1020,-4699,-15380,7751,7297,28823,-60726,walking
-337,-265,884,7629,12512,-23315,27364,39769,-75059,walking
-288,-319,838,5798,25695,-35461,9851,12770,-63752,walking
-414,-325,973,30944,49804,-102844,-2189,12404,-54307,walking
-316,-400,818,27465,34362,-48156,-31378,-18973,-56591,walking
-440,-470,775,9155,36132,-46752,-44875,16782,-41098,walking
-369,-222,970,-5371,-33142,6774,-31378,29918,-48285,walking
-99,-280,1027,11779,15624,-41809,-21891,37215,-58840,walking
-108,-245,1000,1342,-7507,11901,-20067,33566,-57709,walking
-108,-276,1061,1220,10375,1159,-22620,32836,-59210,walking
-162,-247,1066,-1708,-12634,22888,-18242,31742,-59965,walking
-101,-263,1185,-2136,10803,-427,-24080,28458,-61104,walking
-63,-321,1024,-5737,-7934,12451,-19701,33201,-59203,walking
-148,-241,935,-8239,22949,-18188,-18972,31742,-60342,walking
-80,-280,1000,-9704,6774,18554,-16053,33201,-59580,walking
-166,-281,1054,10498,23864,-22094,-21891,31377,-63359,walking
107,-230,1063,-29846,-24169,116088,-25174,30282,-60334,walking
-109,-253,969,4394,-30822,96984,-14593,5107,-64843,walking
-184,-192,784,5004,-427,20874,-6931,0,-66712,walking
46,-230,989,-13977,3173,23376,364,-1824,-71226,walking
-122,-95,901,-15014,14892,-37048,-5837,-2553,-70113,walking
196,-434,974,-427,6774,13488,-6566,-3283,-70464,walking
114,-193,1182,-24108,3662,34179,-8391,-3648,-70481,walking
171,-99,1054,2746,-80383,162658,17876,12404,-71998,walking
-328,-64,1019,-7812,-13549,33447,16781,33928,-61043,walking
60,-270,931,15258,-7507,23193,10214,36116,-59898,walking
-21,-270,907,-14831,-2929,12451,5107,38303,-57624,walking
1,-177,1076,5554,-13732,55175,-2553,40494,-59159,walking
-105,36,1147,4089,-3112,-13366,-6201,41221,-57617,walking
12,-139,1097,-366,9521,-5493,2188,45964,-54611,walking
4,-258,909,6103,22766,-71594,14227,38304,-59891,walking
-215,-141,821,-21789,9948,-2929,12767,39763,-63650,walking
-236,-152,736,-13488,18188,-38269,12768,36480,-62535,walking
-36,145,948,18127,66650,-155334,15686,17510,-73828,walking
-20,-148,841,22033,4211,-96679,-2918,-2918,-69693,walking
359,-119,881,-40832,21972,138977,5836,-729,-70797,walking
-273,-120,1105,3112,-26428,85144,25535,22617,-68538,walking
-142,-14,978,-13183,25878,-98815,20428,14956,-70053,walking
526,-377,453,9033,-488,72265,43045,19333,-57233,walking
55,-497,924,38879,-305,36987,26264,28818,-71165,walking
-153,7,900,-3234,-32409,51452,22617,44504,-80955,walking
209,6,925,12268,8239,-12695,24075,35748,-50820,walking
18,-214,750,-21606,854,-21057,26629,43409,-55344,walking
31,-84,1054,-1342,-6652,81787,1823,55812,-57979,walking
-17,-271,887,2136,-24719,92102,-15321,40491,-68897,walking
-60,62,1433,-2197,-34790,47119,-28087,24074,-61345,walking
-31,-302,900,7568,-14526,70068,18968,25534,-69625,walking
-6,-177,1105,-7690,-16113,71960,14955,31005,-68864,walking
-71,-239,1042,-3417,7446,11352,729,33922,-66589,walking
-51,-143,1084,-8422,-17211,58349,-1823,37206,-66229,walking
-208,-165,1143,-2990,17517,-25512,-5471,33557,-68470,walking
-157,-91,1405,8361,-21667,-25146,-729,39395,-62098,walking
-63,89,1078,17578,36254,-159423,18603,31006,-66630,walking
103,-247,995,6286,26916,-71289,21520,7295,-67342,walking
-102,-104,1327,17395,10009,-38330,8389,-4741,-73003,walking
21,-186,1268,16357,-28747,38574,8024,-4377,-72994,walking
-115,-54,1171,-8544,61,-21972,9483,364,-72233,walking
185,-243,995,-10864,2929,36010,17143,2553,-74866,walking
-93,-117,760,-8056,-6774,-13488,15320,-2553,-73003,walking
51,-118,877,1037,-2380,25756,19696,364,-72985,walking
-11,-91,788,4760,-7507,-18249,16414,-3282,-73370,walking
-76,-138,856,9521,-4455,4211,22614,0,-69582,walking
-45,-202,853,-10375,-549,-16113,16778,-4741,-71471,walking
-144,-194,921,-3112,1159,488,21155,3282,-74114,walking
-25,-183,805,-13183,1281,-20629,25168,6930,-76004,walking
